Nama Tempat,Kategori Tempat,Wilayah,Rating Tempat,User Rating,Harga Masuk,RatingNorm,ReviewNorm,TicketNorm,TicketScore,Popularitas,Persentase Kontribusi,Persentase Kumulatif,Kategori ABC
Gunung Lalakon,Cagar Alam,Kota Bandung,4.8,37,10000,0.9090909090909092,1.0,0.02666666666666667,0.9733333333333334,0.9492121212121213,1.2762623034391447,1.2762623034391447,A
Kebun Tanaman Obat Sari Alam,Cagar Alam,Ciwidey,4.9,31,15000,1.0,0.7692307692307692,0.04,0.96,0.9227692307692308,1.2407085388884593,2.516970842327604,A
Masjid Agung Trans Studio Bandung,Tempat Ibadah,Kota Bandung,4.8,28,0,0.9090909090909092,0.653846153846154,0.0,1.0,0.8506993006993007,1.1438069792641568,3.6607778215917604,A
Gereja Tiberias Indonesia Bandung,Tempat Ibadah,Kota Bandung,4.9,23,0,1.0,0.46153846153846156,0.0,1.0,0.8384615384615384,1.1273527070593703,4.788130528651131,A
NuArt Sculpture Park,Taman Hiburan,Kota Bandung,4.7,33,50000,0.8181818181818183,0.8461538461538463,0.13333333333333333,0.8666666666666667,0.8362703962703963,1.124406608797942,5.912537137449073,A
Gereja Katedral Santo Petrus Bandung,Tempat Ibadah,Kota Bandung,4.8,23,0,0.9090909090909092,0.46153846153846156,0.0,1.0,0.793006993006993,1.0662368388701633,6.9787739763192365,A
Masjid Daarut Tauhiid Bandung,Tempat Ibadah,Kota Bandung,4.9,19,0,1.0,0.3076923076923077,0.0,1.0,0.7923076923076924,1.0652965947441757,8.044070571063411,A
Babakan Siliwangi City Forest Path Bandung,Cagar Alam,Kota Bandung,4.6,30,0,0.7272727272727266,0.7307692307692308,0.0,1.0,0.7828671328671326,1.05260329904334,9.096673870106752,A
Museum Nike Ardilla,Budaya,Kota Bandung,4.6,30,0,0.7272727272727266,0.7307692307692308,0.0,1.0,0.7828671328671326,1.05260329904334,10.149277169150093,A
Taman Balai Kota Bandung,Taman Hiburan,Kota Bandung,4.6,30,0,0.7272727272727266,0.7307692307692308,0.0,1.0,0.7828671328671326,1.05260329904334,11.201880468193433,A
Gunung Papandayan,Cagar Alam,Kota Bandung,4.6,31,30000,0.7272727272727266,0.7692307692307692,0.08,0.92,0.7784055944055941,1.0466045415195377,12.24848500971297,A
Masjid Pusdai,Tempat Ibadah,Kota Bandung,4.7,24,0,0.8181818181818183,0.5,0.0,1.0,0.7590909090909093,1.0206349987597554,13.269120008472726,A
Saung Angklung Mang Udjo,Budaya,Kota Bandung,4.7,27,75000,0.8181818181818183,0.6153846153846154,0.2,0.8,0.7537062937062938,1.0133951189896493,14.282515127462375,A
Dusun Bambu,Taman Hiburan,Kota Bandung,4.5,31,25000,0.6363636363636367,0.7692307692307692,0.06666666666666667,0.9333333333333333,0.7356177156177157,0.9890741375974316,15.271589265059806,A
Masjid Salman ITB,Tempat Ibadah,Kota Bandung,4.8,18,0,0.9090909090909092,0.26923076923076916,0.0,1.0,0.7353146853146852,0.98866669847617,16.260255963535975,A
Desa Wisata Cai Ranca Upas,Cagar Alam,Ciwidey,4.7,22,10000,0.8181818181818183,0.42307692307692313,0.02666666666666667,0.9733333333333334,0.7306806526806527,0.9824360140679577,17.242691977603933,A
Monumen Perjuangan Rakyat Jawa Barat,Budaya,Kota Bandung,4.5,29,0,0.6363636363636367,0.6923076923076923,0.0,1.0,0.7258741258741259,0.975973402775335,18.218665380379267,A
Taman Sejarah Bandung,Budaya,Kota Bandung,4.6,25,0,0.7272727272727266,0.5384615384615384,0.0,1.0,0.7251748251748249,0.9750331586493466,19.193698539028613,A
Alun-Alun Kota Bandung,Taman Hiburan,Kota Bandung,4.6,25,0,0.7272727272727266,0.5384615384615384,0.0,1.0,0.7251748251748249,0.9750331586493466,20.16873169767796,A
Masjid Al-Imtizaj,Tempat Ibadah,Kota Bandung,4.7,20,0,0.8181818181818183,0.34615384615384615,0.0,1.0,0.712937062937063,0.9585788864445607,21.12731058412252,A
Masjid Raya Bandung,Tempat Ibadah,Kota Bandung,4.7,20,0,0.8181818181818183,0.34615384615384615,0.0,1.0,0.712937062937063,0.9585788864445607,22.08588947056708,A
Museum Pos Indonesia,Budaya,Kota Bandung,4.5,28,10000,0.6363636363636367,0.653846153846154,0.02666666666666667,0.9733333333333334,0.7090023310023311,0.953288446162336,23.039177916729415,A
Museum Geologi Bandung,Budaya,Kota Bandung,4.6,23,2000,0.7272727272727266,0.46153846153846156,0.005333333333333334,0.9946666666666667,0.7010312354312351,0.9425709167849091,23.981748833514324,A
Gedung Sate,Budaya,Kota Bandung,4.6,23,5000,0.7272727272727266,0.46153846153846156,0.013333333333333334,0.9866666666666667,0.6994312354312351,0.9404196382246491,24.922168471738974,A
GunungTangkuban perahu,Cagar Alam,Lembang,4.5,28,30000,0.6363636363636367,0.653846153846154,0.08,0.92,0.6983356643356645,0.9389465890939355,25.86111506083291,A
Rainbow Garden,Cagar Alam,Kota Bandung,4.6,23,20000,0.7272727272727266,0.46153846153846156,0.05333333333333334,0.9466666666666667,0.6914312354312351,0.9296632454233487,26.790778306256257,A
Orchid Forest Cikole,Taman Hiburan,Lembang,4.6,24,50000,0.7272727272727266,0.5,0.13333333333333333,0.8666666666666667,0.6869696969696967,0.9236644878995466,27.714442794155804,A
