Nama Tempat,Kategori Tempat,Wilayah,Peringkat Validasi,Platform,KET,Rating Tempat,User Rating,Harga Masuk,RatingNorm,ReviewNorm,TicketNorm,TicketScore,Popularitas,Persentase Kontribusi,Persentase Kumulatif,Kategori ABC,Alamat,Google Maps
Gunung Lalakon,Cagar Alam,Kota Bandung,,"Tidak?terdaftar?(Traveloka,?Agoda & Opendata)",Tidak Sesuai,4.8,37,10000,0.909090909,1,0.026666667,0.973333333,0.949212121,1.276262303,1.276262303,A,"Situwangi, Cihampelas, West Bandung Regency, West Java",https://maps.app.goo.gl/tCJq9bB1kurHQy8j7
Kebun Tanaman Obat Sari Alam,Cagar Alam,Ciwidey,,"Tidak?terdaftar?(Traveloka,?Agoda & Opendata)",Tidak Sesuai,4.9,31,15000,1,0.769230769,0.04,0.96,0.922769231,1.240708539,2.516970842,A,"Jl. Raya Ciwidey bandung km 26 no 8 rt 1 rw 2 kampung Andir, Cukanggenteng, Kec. Pasirjambu, kab Bandung, Jawa Barat 40972",https://maps.app.goo.gl/tdPB61Pjuj7craUt9
Masjid Agung Trans Studio Bandung,Tempat Ibadah,Kota Bandung,28,Tripadvisor,Sesuai,4.8,28,0,0.909090909,0.653846154,0,1,0.850699301,1.143806979,3.660777822,A,"Pusat Terpadu Transtudio, Jl. Gatot Subroto No.289, Cibangkong, Kec. Batununggal, Kota Bandung, Jawa Barat 40273",https://maps.app.goo.gl/jjFJxMJJi11awnWz8
Gereja Tiberias Indonesia Bandung,Tempat Ibadah,Kota Bandung,1,Trip.com,Sesuai,4.9,23,0,1,0.461538462,0,1,0.838461538,1.127352707,4.788130529,A,"Braga City Walk, Jl. Braga No.99-101, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111",https://maps.app.goo.gl/abH5oAdnRWfN6pGH6
NuArt Sculpture Park,Taman Hiburan,Kota Bandung,8,Tripadvisor,Sesuai,4.7,33,50000,0.818181818,0.846153846,0.133333333,0.866666667,0.836270396,1.124406609,5.912537137,A,"Setra Duta Raya No.L6, Ciwaruga, Kec. Parongpong, Bandung, Jawa Barat 40151",https://maps.app.goo.gl/wvWWuG5FPd9F5GTi6
Gereja Katedral Santo Petrus Bandung,Tempat Ibadah,Kota Bandung,25,Tripadvisor,Sesuai,4.8,23,0,0.909090909,0.461538462,0,1,0.793006993,1.066236839,6.978773976,A,"Jl. Merdeka No.14, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",https://maps.app.goo.gl/tuXpHTHs2YRhDLBv9
Masjid Daarut Tauhiid Bandung,Tempat Ibadah,Kota Bandung,4,Tripadvisor,Sesuai,4.9,19,0,1,0.307692308,0,1,0.792307692,1.065296595,8.044070571,A,"Jl. Gegerkalong Girang No.38, Isola, Kec. Sukasari, Kota Bandung, Jawa Barat 40154",https://maps.app.goo.gl/v2Hr7hgELumNtn168
Babakan Siliwangi City Forest Path Bandung,Cagar Alam,Kota Bandung,57,Tripadvisor,Sesuai,4.6,30,0,0.727272727,0.730769231,0,1,0.782867133,1.052603299,9.09667387,A,"Jl. Tamansari No.90, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",https://maps.app.goo.gl/rw8wsAuXcdoG9CVA6
Museum Nike Ardilla,Budaya,Kota Bandung,244,Tripadvisor,Sesuai,4.6,30,0,0.727272727,0.730769231,0,1,0.782867133,1.052603299,10.14927717,A,"Komp. Arya Graha, Jl. Aria Utama No.5, Cipamokolan, Kec. Rancasari, Kota Bandung, Jawa Barat 40292",https://maps.app.goo.gl/idbqnyqNV6mui6Xm6
Taman Balai Kota Bandung,Taman Hiburan,Kota Bandung,37,Tripadvisor,Sesuai,4.6,30,0,0.727272727,0.730769231,0,1,0.782867133,1.052603299,11.20188047,A,"Jl. Wastukencana No.2, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",https://maps.app.goo.gl/eejNLHE8XZZ8rrAW9
Gunung Papandayan,Cagar Alam,Kota Bandung,13,Tripadvisor,Sesuai,4.6,31,30000,0.727272727,0.769230769,0.08,0.92,0.778405594,1.046604542,12.24848501,A,"Jl. Tamansari No.90, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",https://maps.app.goo.gl/rw8wsAuXcdoG9CVA6
Masjid Pusdai,Tempat Ibadah,Kota Bandung,,"Tidak?terdaftar?(Traveloka,?Agoda & Opendata)",Tidak Sesuai,4.7,24,0,0.818181818,0.5,0,1,0.759090909,1.020634999,13.26912001,A,"Jl. Diponegoro No.63, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40122",https://maps.app.goo.gl/Rj4FaBKRsmPKLo7i8
Saung Angklung Mang Udjo,Budaya,Kota Bandung,6,Tripadvisor,Sesuai,4.7,27,75000,0.818181818,0.615384615,0.2,0.8,0.753706294,1.013395119,14.28251513,A,"Jl. Padasuka No.118, Pasirlayung, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40192",https://maps.app.goo.gl/kf3UFvBreEMG9quY6
Dusun Bambu,Taman Hiburan,Kota Bandung,12,Tripadvisor,Sesuai,4.5,31,25000,0.636363636,0.769230769,0.066666667,0.933333333,0.735617716,0.989074138,15.27158927,A,"Kertawangi, Cisarua, West Bandung Regency, West Java 40551",https://maps.app.goo.gl/JP7pVXG5zMhL3EhE6
Masjid Salman ITB,Tempat Ibadah,Kota Bandung,38,Tripadvisor,Sesuai,4.8,18,0,0.909090909,0.269230769,0,1,0.735314685,0.988666698,16.26025596,A,"Jl. Ganesha No.7, Lb. Siliwangi, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",https://maps.app.goo.gl/qMGhVSAnWQDMRqiY6
Desa Wisata Cai Ranca Upas,Cagar Alam,Ciwidey,4,Tripadvisor,Sesuai,4.7,22,10000,0.818181818,0.423076923,0.026666667,0.973333333,0.730680653,0.982436014,17.24269198,A,"Jl. Camp Ranca Upas, Patengan, Kec. Rancabali, Kabupaten Bandung, Jawa Barat 40973",https://maps.app.goo.gl/AZtNEE8JMTmQS6XY7
Monumen Perjuangan Rakyat Jawa Barat,Budaya,Kota Bandung,132,Tripadvisor,Sesuai,4.5,29,0,0.636363636,0.692307692,0,1,0.725874126,0.975973403,18.21866538,A,"Jl. Dipati Ukur No.48, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132",https://maps.app.goo.gl/brw3MZNwaLmGAMag6
Taman Sejarah Bandung,Budaya,Kota Bandung,105,Tripadvisor,Sesuai,4.6,25,0,0.727272727,0.538461538,0,1,0.725174825,0.975033159,19.19369854,A,"Jl. Aceh No.53, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117",https://maps.app.goo.gl/vcnYaFtnTtrnwt44A
Alun-Alun Kota Bandung,Taman Hiburan,Kota Bandung,43,Tripadvisor,Sesuai,4.6,25,0,0.727272727,0.538461538,0,1,0.725174825,0.975033159,20.1687317,A,"Jl. Asia Afrika, Kb. Pisang, Kec. Regol, Kota Bandung, Jawa Barat 40251",https://maps.app.goo.gl/RYTjL2jpWwZCeTy59
Masjid Al-Imtizaj,Tempat Ibadah,Kota Bandung,224,Tripadvisor,Sesuai,4.7,20,0,0.818181818,0.346153846,0,1,0.712937063,0.958578886,21.12731058,A,"Jl. Dalem Kaum No.14, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",https://maps.app.goo.gl/h3K6UzyfRSDJnAHw8
Masjid Raya Bandung,Tempat Ibadah,Kota Bandung,11,Tripadvisor,Sesuai,4.7,20,0,0.818181818,0.346153846,0,1,0.712937063,0.958578886,22.08588947,A,"Jl. Dalem Kaum No.14, Balonggede, Kec. Regol, Kota Bandung, Jawa Barat 40251",https://maps.app.goo.gl/h3K6UzyfRSDJnAHw8
Museum Pos Indonesia,Budaya,Kota Bandung,81,Tripadvisor,Sesuai,4.5,28,10000,0.636363636,0.653846154,0.026666667,0.973333333,0.709002331,0.953288446,23.03917792,A,"Cilaki St No.73, Citarum, Bandung Wetan, Bandung City, West Java 40115",https://maps.app.goo.gl/Dj6eFGvE7U7uiqe39
Museum Geologi Bandung,Budaya,Kota Bandung,9,Tripadvisor,Sesuai,4.6,23,2000,0.727272727,0.461538462,0.005333333,0.994666667,0.701031235,0.942570917,23.98174883,A,"Jl. Diponegoro No.57, Cihaur Geulis, Kec. Cibeunying Kaler, Kota Bandung, Jawa Barat 40122",https://maps.app.goo.gl/k4DUxLWSn37Pkk848
